pronoun3_count,pronoun3_ratio
63,0.11170212765957446
18,0.08333333333333333
40,0.1095890410958904
43,0.14726027397260275
27,0.10424710424710425
46,0.13372093023255813
16,0.09696969696969697
9,0.16981132075471697
45,0.11278195488721804
24,0.05755395683453238
32,0.1095890410958904
21,0.14
32,0.1702127659574468
7,0.061946902654867256
21,0.10194174757281553
53,0.15406976744186046
71,0.16511627906976745
52,0.16300940438871472
45,0.13803680981595093
33,0.0953757225433526
20,0.16260162601626016
20,0.17543859649122806
12,0.07100591715976332
19,0.09947643979057591
12,0.08695652173913043
32,0.11307420494699646
0,0
14,0.112
91,0.11220715166461159
36,0.12
