negation_count,negation_ratio
2,0.0035460992907801418
4,0.018518518518518517
3,0.00821917808219178
1,0.003424657534246575
1,0.003861003861003861
5,0.014534883720930232
1,0.006060606060606061
0,0.0
4,0.010025062656641603
3,0.007194244604316547
5,0.017123287671232876
0,0.0
0,0.0
0,0.0
2,0.009708737864077669
0,0.0
7,0.01627906976744186
4,0.012539184952978056
5,0.015337423312883436
0,0.0
2,0.016260162601626018
3,0.02631578947368421
5,0.029585798816568046
0,0.0
8,0.057971014492753624
13,0.045936395759717315
0,0
0,0.0
1,0.0012330456226880395
2,0.006666666666666667
