unique_words,lex_diversity
146,0.25886524822695034
100,0.46296296296296297
123,0.336986301369863
126,0.4315068493150685
90,0.3474903474903475
126,0.36627906976744184
76,0.46060606060606063
31,0.5849056603773585
136,0.3408521303258145
123,0.2949640287769784
112,0.3835616438356164
60,0.4
76,0.40425531914893614
65,0.5752212389380531
71,0.3446601941747573
144,0.4186046511627907
160,0.37209302325581395
90,0.28213166144200624
104,0.31901840490797545
140,0.4046242774566474
68,0.5528455284552846
63,0.5526315789473685
79,0.46745562130177515
85,0.44502617801047123
70,0.5072463768115942
118,0.4169611307420495
0,0
73,0.584
214,0.2638717632552404
111,0.37
