pronoun1_count,pronoun1_ratio
163,0.28900709219858156
53,0.24537037037037038
70,0.1917808219178082
66,0.22602739726027396
51,0.1969111969111969
68,0.19767441860465115
29,0.17575757575757575
13,0.24528301886792453
93,0.23308270676691728
99,0.23741007194244604
65,0.2226027397260274
41,0.2733333333333333
36,0.19148936170212766
28,0.24778761061946902
72,0.34951456310679613
90,0.2616279069767442
91,0.2116279069767442
72,0.22570532915360503
97,0.29754601226993865
74,0.2138728323699422
26,0.21138211382113822
24,0.21052631578947367
65,0.38461538461538464
50,0.2617801047120419
34,0.2463768115942029
88,0.31095406360424027
0,0
32,0.256
235,0.28976572133168926
54,0.18
