filler_count,filler_ratio
2,0.0035460992907801418
8,0.037037037037037035
11,0.030136986301369864
18,0.06164383561643835
1,0.003861003861003861
6,0.01744186046511628
0,0.0
6,0.11320754716981132
6,0.015037593984962405
11,0.026378896882494004
2,0.00684931506849315
2,0.013333333333333334
7,0.03723404255319149
1,0.008849557522123894
5,0.024271844660194174
10,0.029069767441860465
12,0.027906976744186046
5,0.01567398119122257
3,0.009202453987730062
1,0.002890173410404624
0,0.0
1,0.008771929824561403
4,0.023668639053254437
1,0.005235602094240838
0,0.0
0,0.0
0,0
1,0.008
2,0.002466091245376079
12,0.04
