file_name,filler_ratio,,pronouni_ratio,,pronounwe_ratio,,pronounhe_ratio,,pronounthey_ratio,,negation_ratio,,lex_diversity
Sm1-.txt,0.0,,0.29292929292929293,,0.027777777777777776,,0.11616161616161616,,0.020202020202020204,,0.005050505050505051,,0.3611111111111111
Sm10-.txt,0.0,,0.3291139240506329,,0.06329113924050633,,0.12658227848101267,,0.012658227848101266,,0.012658227848101266,,0.7721518987341772
Sm11-.txt,0.005291005291005291,,0.3201058201058201,,0.0291005291005291,,0.14285714285714285,,0.0026455026455026454,,0.0026455026455026454,,0.3492063492063492
Sm12-.txt,0.0,,0.16161616161616163,,0.020202020202020204,,0.16161616161616163,,0.010101010101010102,,0.04040404040404041,,0.5555555555555556
Sm13-.txt,0.0,,0.31263858093126384,,0.03325942350332594,,0.11751662971175167,,0.0,,0.015521064301552107,,0.3259423503325942
Sm14-.txt,0.00872093023255814,,0.25290697674418605,,0.0377906976744186,,0.10755813953488372,,0.020348837209302327,,0.0436046511627907,,0.45058139534883723
Sm15-.txt,0.005291005291005291,,0.4417989417989418,,0.015873015873015872,,0.0582010582010582,,0.0026455026455026454,,0.0291005291005291,,0.29365079365079366
Sm16-.txt,0.0,,0.3055555555555556,,0.06481481481481481,,0.18518518518518517,,0.0,,0.046296296296296294,,0.4537037037037037
Sm17-.txt,0.04983388704318937,,0.2823920265780731,,0.059800664451827246,,0.15282392026578073,,0.0033222591362126247,,0.023255813953488372,,0.46511627906976744
Sm18-.txt,0.019464720194647202,,0.26520681265206814,,0.08029197080291971,,0.1630170316301703,,0.012165450121654502,,0.014598540145985401,,0.41362530413625304
Sm19-.txt,0.04899135446685879,,0.3112391930835735,,0.043227665706051875,,0.15561959654178675,,0.01440922190201729,,0.023054755043227664,,0.3688760806916426
Sm2-.txt,0.0016,,0.2912,,0.0448,,0.176,,0.016,,0.0272,,0.3248
Sm20-.txt,0.0,,0.29545454545454547,,0.030991735537190084,,0.17148760330578514,,0.0,,0.03925619834710744,,0.33264462809917356
Sm21-.txt,0.03636363636363636,,0.2581818181818182,,0.06909090909090909,,0.16,,0.0036363636363636364,,0.02909090909090909,,0.5272727272727272
Sm22-.txt,0.019417475728155338,,0.34627831715210355,,0.016181229773462782,,0.07766990291262135,,0.003236245954692557,,0.02912621359223301,,0.30097087378640774
Sm23-.txt,0.027649769585253458,,0.2764976958525346,,0.03686635944700461,,0.1497695852534562,,0.002304147465437788,,0.016129032258064516,,0.41935483870967744
Sm24-.txt,0.011538461538461539,,0.2153846153846154,,0.03461538461538462,,0.11923076923076924,,0.015384615384615385,,0.019230769230769232,,0.3423076923076923
Sm25-.txt,0.028037383177570093,,0.29906542056074764,,0.028037383177570093,,0.09813084112149532,,0.0,,0.014018691588785047,,0.5186915887850467
Sm26-.txt,0.017341040462427744,,0.26011560693641617,,0.04046242774566474,,0.1676300578034682,,0.0,,0.028901734104046242,,0.47398843930635837
Sm27-.txt,0.055248618784530384,,0.2154696132596685,,0.027624309392265192,,0.16574585635359115,,0.0,,0.016574585635359115,,0.5193370165745856
Sm28-.txt,0.008928571428571428,,0.30952380952380953,,0.020833333333333332,,0.1636904761904762,,0.0,,0.008928571428571428,,0.36607142857142855
Sm29-.txt,0.002257336343115124,,0.2618510158013544,,0.0,,0.1670428893905192,,0.004514672686230248,,0.02708803611738149,,0.255079006772009
Sm3-.txt,0.03202846975088968,,0.3202846975088968,,0.010676156583629894,,0.09608540925266904,,0.0071174377224199285,,0.0035587188612099642,,0.4804270462633452
Sm30-.txt,0.022222222222222223,,0.2611111111111111,,0.027777777777777776,,0.1361111111111111,,0.0,,0.022222222222222223,,0.3527777777777778
Sm4-.txt,0.010638297872340425,,0.25177304964539005,,0.07624113475177305,,0.1400709219858156,,0.0035460992907801418,,0.0017730496453900709,,0.33865248226950356
Sm5-.txt,0.004424778761061947,,0.21017699115044247,,0.02654867256637168,,0.1902654867256637,,0.0022123893805309734,,0.0022123893805309734,,0.2676991150442478
Sm6-.txt,0.013215859030837005,,0.2753303964757709,,0.03524229074889868,,0.16740088105726872,,0.004405286343612335,,0.0022026431718061676,,0.36784140969163
Sm7-.txt,0.02054794520547945,,0.2876712328767123,,0.0273972602739726,,0.0821917808219178,,0.00684931506849315,,0.00684931506849315,,0.547945205479452
Sm8-.txt,0.11891891891891893,,0.2594594594594595,,0.05405405405405406,,0.08648648648648649,,0.005405405405405406,,0.005405405405405406,,0.4810810810810811
Sm9-.txt,0.0,,0.3111111111111111,,0.05555555555555555,,0.1111111111111111,,0.011111111111111112,,0.027777777777777776,,0.49444444444444446
