file_name,filler_ratio,,pronouni_ratio,,pronounwe_ratio,,pronounhe_ratio,,pronounthey_ratio,,negation_ratio,,lex_diversity
Sm1+.txt,0.0035460992907801418,,0.3617021276595745,,0.028368794326241134,,0.12234042553191489,,0.044326241134751775,,0.0035460992907801418,,0.25886524822695034
Sm10+.txt,0.037037037037037035,,0.25925925925925924,,0.05092592592592592,,0.09259259259259259,,0.0,,0.018518518518518517,,0.46296296296296297
Sm11+.txt,0.030136986301369864,,0.2054794520547945,,0.0273972602739726,,0.11506849315068493,,0.0027397260273972603,,0.00821917808219178,,0.336986301369863
Sm12+.txt,0.06164383561643835,,0.2465753424657534,,0.023972602739726026,,0.16095890410958905,,0.003424657534246575,,0.003424657534246575,,0.4315068493150685
Sm13+.txt,0.003861003861003861,,0.20463320463320464,,0.011583011583011582,,0.10424710424710425,,0.0,,0.003861003861003861,,0.3474903474903475
Sm14+.txt,0.01744186046511628,,0.20930232558139536,,0.029069767441860465,,0.13372093023255813,,0.00872093023255814,,0.014534883720930232,,0.36627906976744184
Sm15+.txt,0.0,,0.17575757575757575,,0.012121212121212121,,0.09696969696969697,,0.0,,0.006060606060606061,,0.46060606060606063
Sm16+.txt,0.11320754716981132,,0.2641509433962264,,0.07547169811320754,,0.16981132075471697,,0.03773584905660377,,0.0,,0.5849056603773585
Sm17+.txt,0.015037593984962405,,0.2581453634085213,,0.017543859649122806,,0.11779448621553884,,0.005012531328320802,,0.010025062656641603,,0.3408521303258145
Sm18+.txt,0.026378896882494004,,0.27577937649880097,,0.011990407673860911,,0.06235011990407674,,0.014388489208633094,,0.007194244604316547,,0.2949640287769784
Sm19+.txt,0.00684931506849315,,0.2363013698630137,,0.023972602739726026,,0.11643835616438356,,0.0136986301369863,,0.017123287671232876,,0.3835616438356164
Sm2+.txt,0.013333333333333334,,0.3933333333333333,,0.06,,0.14,,0.02666666666666667,,0.0,,0.4
Sm20+.txt,0.03723404255319149,,0.20212765957446807,,0.1276595744680851,,0.18617021276595744,,0.0,,0.0,,0.40425531914893614
Sm21+.txt,0.008849557522123894,,0.26548672566371684,,0.035398230088495575,,0.08849557522123894,,0.0,,0.0,,0.5752212389380531
Sm22+.txt,0.024271844660194174,,0.36893203883495146,,0.0048543689320388345,,0.10194174757281553,,0.009708737864077669,,0.009708737864077669,,0.3446601941747573
Sm23+.txt,0.029069767441860465,,0.26744186046511625,,0.03488372093023256,,0.15988372093023256,,0.0,,0.0,,0.4186046511627907
Sm24+.txt,0.027906976744186046,,0.22093023255813954,,0.06744186046511629,,0.16511627906976745,,0.013953488372093023,,0.01627906976744186,,0.37209302325581395
Sm25+.txt,0.01567398119122257,,0.23824451410658307,,0.018808777429467086,,0.1786833855799373,,0.05329153605015674,,0.012539184952978056,,0.28213166144200624
Sm26+.txt,0.009202453987730062,,0.3067484662576687,,0.06134969325153374,,0.18098159509202455,,0.0,,0.015337423312883436,,0.31901840490797545
Sm27+.txt,0.002890173410404624,,0.23699421965317918,,0.07514450867052024,,0.09826589595375723,,0.002890173410404624,,0.0,,0.4046242774566474
Sm28+.txt,0.0,,0.21951219512195122,,0.008130081300813009,,0.18699186991869918,,0.008130081300813009,,0.016260162601626018,,0.5528455284552846
Sm29+.txt,0.008771929824561403,,0.21929824561403508,,0.008771929824561403,,0.24561403508771928,,0.0,,0.02631578947368421,,0.5526315789473685
Sm3+.txt,0.023668639053254437,,0.39644970414201186,,0.005917159763313609,,0.07100591715976332,,0.0,,0.029585798816568046,,0.46745562130177515
Sm30+.txt,0.005235602094240838,,0.2670157068062827,,0.010471204188481676,,0.09947643979057591,,0.005235602094240838,,0.0,,0.44502617801047123
Sm4+.txt,0.0,,0.2608695652173913,,0.014492753623188406,,0.08695652173913043,,0.021739130434782608,,0.057971014492753624,,0.5072463768115942
Sm5+.txt,0.0,,0.3321554770318021,,0.0176678445229682,,0.14840989399293286,,0.014134275618374558,,0.045936395759717315,,0.4169611307420495
Sm7+.txt,0.008,,0.256,,0.024,,0.112,,0.0,,0.0,,0.584
Sm8+.txt,0.002466091245376079,,0.29839704069050554,,0.04438964241676942,,0.11713933415536375,,0.006165228113440197,,0.0012330456226880395,,0.2638717632552404
Sm9+.txt,0.04,,0.22666666666666666,,0.08,,0.12333333333333334,,0.0,,0.006666666666666667,,0.37
