file_name,filler_ratio,,pronouni_ratio,,pronounthey_ratio,,negation_ratio,,pronounwe_ratio,,lex_diversity
Sm1+.txt,0.0035460992907801418,,0.28900709219858156,,0.040780141843971635,,0.0035460992907801418,,0.010638297872340425,,0.25886524822695034
Sm10+.txt,0.037037037037037035,,0.24537037037037038,,0.0,,0.018518518518518517,,0.009259259259259259,,0.46296296296296297
Sm11+.txt,0.030136986301369864,,0.1917808219178082,,0.0027397260273972603,,0.00821917808219178,,0.010958904109589041,,0.336986301369863
Sm12+.txt,0.06164383561643835,,0.22602739726027396,,0.003424657534246575,,0.003424657534246575,,0.010273972602739725,,0.4315068493150685
Sm13+.txt,0.003861003861003861,,0.1969111969111969,,0.0,,0.003861003861003861,,0.003861003861003861,,0.3474903474903475
Sm14+.txt,0.01744186046511628,,0.19767441860465115,,0.00872093023255814,,0.014534883720930232,,0.01744186046511628,,0.36627906976744184
Sm15+.txt,0.0,,0.17575757575757575,,0.0,,0.006060606060606061,,0.006060606060606061,,0.46060606060606063
Sm16+.txt,0.11320754716981132,,0.24528301886792453,,0.03773584905660377,,0.0,,0.018867924528301886,,0.5849056603773585
Sm17+.txt,0.015037593984962405,,0.23308270676691728,,0.002506265664160401,,0.010025062656641603,,0.005012531328320802,,0.3408521303258145
Sm18+.txt,0.026378896882494004,,0.23741007194244604,,0.011990407673860911,,0.007194244604316547,,0.002398081534772182,,0.2949640287769784
Sm19+.txt,0.00684931506849315,,0.2226027397260274,,0.010273972602739725,,0.017123287671232876,,0.010273972602739725,,0.3835616438356164
Sm2+.txt,0.013333333333333334,,0.2733333333333333,,0.013333333333333334,,0.0,,0.0,,0.4
Sm20+.txt,0.03723404255319149,,0.19148936170212766,,0.0,,0.0,,0.09574468085106383,,0.40425531914893614
Sm21+.txt,0.008849557522123894,,0.24778761061946902,,0.0,,0.0,,0.017699115044247787,,0.5752212389380531
Sm22+.txt,0.024271844660194174,,0.34951456310679613,,0.0,,0.009708737864077669,,0.0,,0.3446601941747573
Sm23+.txt,0.029069767441860465,,0.2616279069767442,,0.0,,0.0,,0.02616279069767442,,0.4186046511627907
Sm24+.txt,0.027906976744186046,,0.2116279069767442,,0.013953488372093023,,0.01627906976744186,,0.03953488372093023,,0.37209302325581395
Sm25+.txt,0.01567398119122257,,0.22570532915360503,,0.050156739811912224,,0.012539184952978056,,0.009404388714733543,,0.28213166144200624
Sm26+.txt,0.009202453987730062,,0.29754601226993865,,0.0,,0.015337423312883436,,0.009202453987730062,,0.31901840490797545
Sm27+.txt,0.002890173410404624,,0.2138728323699422,,0.002890173410404624,,0.0,,0.04335260115606936,,0.4046242774566474
Sm28+.txt,0.0,,0.21138211382113822,,0.008130081300813009,,0.016260162601626018,,0.0,,0.5528455284552846
Sm29+.txt,0.008771929824561403,,0.21052631578947367,,0.0,,0.02631578947368421,,0.008771929824561403,,0.5526315789473685
Sm3+.txt,0.023668639053254437,,0.38461538461538464,,0.0,,0.029585798816568046,,0.0,,0.46745562130177515
Sm30+.txt,0.005235602094240838,,0.2617801047120419,,0.005235602094240838,,0.0,,0.005235602094240838,,0.44502617801047123
Sm4+.txt,0.0,,0.2463768115942029,,0.014492753623188406,,0.057971014492753624,,0.007246376811594203,,0.5072463768115942
Sm5+.txt,0.0,,0.31095406360424027,,0.0035335689045936395,,0.045936395759717315,,0.0035335689045936395,,0.4169611307420495
Sm7+.txt,0.008,,0.256,,0.0,,0.0,,0.0,,0.584
Sm8+.txt,0.002466091245376079,,0.28976572133168926,,0.004932182490752158,,0.0012330456226880395,,0.014796547472256474,,0.2638717632552404
Sm9+.txt,0.04,,0.18,,0.0,,0.006666666666666667,,0.06,,0.37
